"conference_id","conference_name","conference_abbreviation","cy_id","cy_name","cy_abbreviation","cy_year","cy_location","cy_from","cy_to","cy_web","cy_state"
"42","Asia and South Pacific Design Automation Conference","ASP-DAC","4560","Asia and South Pacific Design Automation Conference","ASP-DAC","2013","Yokohama, Japan","2013-01-22 00:00:00","2013-01-25 00:00:00","http://www.aspdac.com/aspdac2013/index.html","archived"
"42","Asia and South Pacific Design Automation Conference","ASP-DAC","4561","Asia and South Pacific Design Automation Conference","ASP-DAC","2015","Makuhari, Japan","2015-01-19 00:00:00","2015-01-22 00:00:00","http://www.aspdac.com/aspdac2015/index.html","archived"
"42","Asia and South Pacific Design Automation Conference","ASP-DAC","4562","Asia and South Pacific Design Automation Conference","ASP-DAC","2011","Yokohama, Japan","2011-01-25 00:00:00","2011-01-28 00:00:00","http://www.aspdac.com/aspdac2011/","archived"
"42","Asia and South Pacific Design Automation Conference","ASP-DAC","4563","Asia and South Pacific Design Automation Conference","ASP-DAC","2012","Sydney, Australia","2012-01-30 00:00:00","2012-02-02 00:00:00","http://www.cse.unsw.edu.au/~babaks/aspdac/","archived"
"42","Asia and South Pacific Design Automation Conference","ASP-DAC","4564","Asia and South Pacific Design Automation Conference","ASP-DAC","2014","Singapore, Singapore","2014-01-20 00:00:00","2014-01-23 00:00:00","http://www.ece.nus.edu.sg/stfpage/elehy/aspdac2014/","archived"
"42","Asia and South Pacific Design Automation Conference","ASP-DAC","4565","Asia and South Pacific Design Automation Conference","ASP-DAC","2010","Taipei, Taiwan","2010-01-18 00:00:00","2010-01-21 00:00:00","http://www.aspdac.com/aspdac2010/","archived"
"92","International Symposium on Asynchronous Circuits and Systems","ASYNC","4566","IEEE International Symposium on  Asynchronous Circuits and Systems","ASYNC","2013","Santa Monica, USA, California","2013-05-19 00:00:00","2013-05-22 00:00:00","http://asyncsymposium.org/","archived"
"92","International Symposium on Asynchronous Circuits and Systems","ASYNC","4567","IEEE International Symposium on  Asynchronous Circuits and Systems","ASYNC","2014","Potsdam, Germany","2014-05-12 00:00:00","2014-05-14 00:00:00","http://asyncsymposium.org/","archived"
"92","International Symposium on Asynchronous Circuits and Systems","ASYNC","4568","IEEE International Symposium on  Asynchronous Circuits and Systems","ASYNC","2009","Chapel Hill, USA","2009-05-17 00:00:00","2009-05-20 00:00:00","http://asyncsymposium.org/","archived"
"92","International Symposium on Asynchronous Circuits and Systems","ASYNC","4569","IEEE International Symposium on  Asynchronous Circuits and Systems","ASYNC","2010","Grenoble, France","2010-05-03 00:00:00","2010-05-06 00:00:00","http://asyncsymposium.org/","archived"
