"conference_id","conference_name","conference_abbreviation","cy_id","cy_name","cy_abbreviation","cy_year","cy_location","cy_from","cy_to","cy_web","cy_state"
"1002","International Conference on Artificial Intelligence, Modelling and Simulation","A I M S","4512","International Conference on Artificial Intelligence, Modelling and Simulation","A I M S","2014","Madrid, Spain","2014-11-18 00:00:00","2014-11-20 00:00:00","http://aims2014.info","archived"
"1002","International Conference on Artificial Intelligence, Modelling and Simulation","A I M S","4513","International Conference on Artificial Intelligence, Modelling and Simulation","A I M S","2013","Kota Kinabalu, Malaysia","2013-12-03 00:00:00","2013-12-05 00:00:00","http://aims2013.info","archived"
"1003","International Conference on Application of Concurrency to System Design","ACSD","4514","International Conference on Application of Concurrency to System Design","ACSD","2013","Barcelona, Spain","2013-07-08 00:00:00","2013-07-10 00:00:00","http://acsd.lsi.upc.edu/ ","archived"
"1003","International Conference on Application of Concurrency to System Design","ACSD","4515","International Conference on Application of Concurrency to System Design","ACSD","2011","Kanazawa, Japan","2011-06-20 00:00:00","2011-06-24 00:00:00","http://www.jaist.ac.jp/acsd-petrinets2011/acsd2011-cfp-web-20100817.html","archived"
"1003","International Conference on Application of Concurrency to System Design","ACSD","4516","International Conference on Application of Concurrency to System Design","ACSD","2014","Tunis, Tunisia","2014-06-22 00:00:00","2014-06-27 00:00:00","http://acsd2014.cnam.fr","archived"
"1003","International Conference on Application of Concurrency to System Design","ACSD","4517","International Conference on Application of Concurrency to System Design","ACSD","2012","Hamburg, Germany","2012-06-25 00:00:00","2012-06-29 00:00:00","http://www.informatik.uni-hamburg.de/TGI/events/acsd2012/acsd2012.shtml","archived"
"1004","IEEE Jordan Conference on Applied Electrical Engineering and Computing Technologies","AEECT","4518","IEEE Jordan Conference on Applied Electrical Engineering and Computing Technologies","AEECT","2013","Amman, Jordan","2013-12-03 00:00:00","2013-12-05 00:00:00","http://ewh.ieee.org/r8/jordan/AEECT2013/","archived"
"1004","IEEE Jordan Conference on Applied Electrical Engineering and Computing Technologies","AEECT","4519","IEEE Jordan Conference on Applied Electrical Engineering and Computing Technologies","AEECT","2011","Amman, Jordan","2011-12-06 00:00:00","2011-12-08 00:00:00","http://ewh.ieee.org/r8/jordan/AEECT2011/","archived"
"1005","IEEE Region 8 AFRICON","AFRICON","4520","IEEE Region 8 AFRICON","AFRICON","2015","Addis Ababa, Ethiopia","2015-09-14 00:00:00","2015-09-17 00:00:00","http://africon2015.org/","alive"
"1005","IEEE Region 8 AFRICON","AFRICON","4521","IEEE Region 8 AFRICON","AFRICON","2013","Mauritius, Mauritius","2013-09-09 00:00:00","2013-09-12 00:00:00","http://africon2013.org/","archived"
"1005","IEEE Region 8 AFRICON","AFRICON","4522","IEEE Region 8 AFRICON","AFRICON","2011","Livingstone, Zambia","2011-09-13 00:00:00","2011-09-15 00:00:00","http://www.africon2011.org","archived"
"1006","NASA/ESA Conference on Adaptive Hardware and Systems","AHS","4523","NASA/ESA Conference on Adaptive Hardware and Systems","AHS","2013","Torino, Italy","2013-06-24 00:00:00","2013-06-27 00:00:00","http://www.see.ed.ac.uk/ahs2013/ ","archived"
