"conference_id","conference_name","conference_abbreviation","cy_id","cy_name","cy_abbreviation","cy_year","cy_location","cy_from","cy_to","cy_web","cy_state","transferred_columns"
"42","Asia and South Pacific Design Automation Conference","ASP-DAC","144","Asia and South Pacific Design Automation Conference","ASP-DAC","2009","Yokohama, Japan","2009-01-19 00:00:00","2009-01-22 00:00:00","http://www.aspdac.com/aspdac2009/","archived","deadline, notification, finalversion, location, web, id"
"92","International Symposium on Asynchronous Circuits and Systems","ASYNC","187","2012 IEEE 18th International Symposium on Asynchronous Circuits and Systems","ASYNC","2012","Lyngby","2012-05-07 00:00:00","2012-05-09 00:00:00","http://www2.imm.dtu.dk/projects/async_2012/async/Home.html","archived","deadline, notification, finalversion, web, id"
"17","Asian Test Symposium","ATS","163","19th Asian Test Symposium","ATS","2010","Shanghai","2010-12-01 00:00:00","2010-12-04 00:00:00","http://ats10.shu.edu.cn/","archived","deadline, notification, finalversion, web, id"
"17","Asian Test Symposium","ATS","64","17th Asian Test Symposium","ATS","2008","Sapporo, JAPAN","2008-11-24 00:00:00","2008-11-27 00:00:00","http://ats08.info.hiroshima-cu.ac.jp/","archived","w_from, w_to, deadline, notification, finalversion, location, web, id"
"17","Asian Test Symposium","ATS","116","Asian Test Symposium","ATS","2009","Taichung, Taiwan","2009-11-23 00:00:00","2009-11-26 00:00:00","http://ats09.nchu.edu.tw/","archived","w_from, w_to, deadline, notification, finalversion, web, id"
"15","ACM/IEEE Design Automation Conference","DAC","145","47th ACM/IEEE Design Automation Conference","DAC","2010","Anaheim, California","2010-06-14 00:00:00","2010-06-18 00:00:00","http://www.dac.com/","archived","w_from, w_to, deadline, notification, finalversion, web, id"
"15","ACM/IEEE Design Automation Conference","DAC","132","46th ACM/IEEE Design Automation Conference","DAC","2009","San Francisco, California","2009-07-26 00:00:00","2009-07-31 00:00:00","http://www.dac.com/","archived","w_from, w_to, deadline, notification, finalversion, web, id"
"15","ACM/IEEE Design Automation Conference","DAC","142","48th ACM/IEEE Design Automation Conference","DAC","2011","San Diego, USA","2011-06-05 00:00:00","2011-06-10 00:00:00","http://www.dac.com/","archived","w_from, w_to, deadline, notification, finalversion, location, web, id"
"8","Design, Automation and Test in Europe","DATE","193","Design, Automation and Test in Europe","DATE","2013","Grenoble, France","2013-03-18 00:00:00","2013-03-22 00:00:00","http://www.date-conference.com","archived","deadline, notification, finalversion, web, id"
"8","Design, Automation and Test in Europe","DATE","146","Design, Automation and Test in Europe","DATE","2012","Dresden, Germany","2012-03-12 00:00:00","2012-03-16 00:00:00","http://www.date-conference.com","archived","w_from, w_to, deadline, notification, finalversion, web, id"
